"ID_Campo","top","bot","SOL_BD","SOL_AWC","SOL_K","SOL_CBN","SOL_CLAY","SOL_SILT","SOL_SAND","USLE_K","X","Y","TEXTURE","Estrato_cm"
"1",0,30,1.48773148181481,29.7541101345602,4.03217592592593,1.71672222222222,23.9953703703704,64.5153703703704,11.4892592592593,0.271788025444693,340759.0188,2280153.145,"SILT_LOAM","0-30 cm"
"1",30,60,1.03687636198911,32.1926339413712,3.11086328976035,1.41092483660131,25.9556100217865,66.4756100217865,7.56877995642702,0.31758044569391,340759.0188,2280153.145,"SILT_LOAM","30-60 cm"
"11",0,30,1.1258950620625,8.70339792678241,2.01520833333333,1.87091666666667,24.0092592592593,56.5662962962963,19.4244444444444,0.205831443453324,352297.7837,2252384.646,"SILT_LOAM","0-30 cm"
"11",30,60,1.45260167030515,7.73838036561955,4.04405637254902,2.32961274509804,20.088779956427,36.9638997821351,42.9473202614379,0.17197261921932,352297.7837,2252384.646,"LOAM","30-60 cm"
"17",0,30,0.960334419759346,9.13074350987046,3.45025492137674,2.18169948873476,27.0051692754728,13.5617740434147,59.4330566811125,0.139457237117959,359865.0905,2308920.561,"SANDY_CLAY_LOAM","0-30 cm"
"17",30,60,1.10199696504904,11.984981702327,3.24396685614692,1.4294190551951,27.9344311311087,28.067816833912,43.9977520349793,0.159511832989406,359865.0905,2308920.561,"CLAY_LOAM","30-60 cm"
"21",0,30,1.27359567867824,19.0845593634028,3.2506712962963,1.404,37.9953703703704,44.5014814814815,17.5031481481481,0.183566828646372,358201.178,2296335.515,"SILTY_CLAY_LOAM","0-30 cm"
"21",30,60,1.16251543209137,18.702831046156,2.96643654684096,1.404,39.9556100217865,52.342440087146,7.70194989106754,0.26418059828557,358201.178,2296335.515,"SILTY_CLAY_LOAM","30-60 cm"
"3",0,30,1.05972222222222,22.5173692020833,1.27048611111111,1.63818055555556,11.9907407407407,32.4505555555556,55.5587037037037,0.17754970696366,341390.4997,2252178.019,"LOAMY_SAND","0-30 cm"
"3",30,60,1.17733660130719,11.1613165964461,1.06466094771242,1.56173120915033,15.911220043573,61.8541503267974,22.2346296296296,0.217063601645363,341390.4997,2252178.019,"SILT_LOAM","30-60 cm"
"33",0,30,0.965540123791667,12.7546391806481,0.99962962962963,1.716,18.0142592592593,64.5094444444444,17.4762962962963,0.237305436351907,371450.4244,2281767.779,"SILT_LOAM","0-30 cm"
"33",30,60,1.44253177164951,16.2921679862146,1.15644880174292,1.716,11.9767211328976,68.9787908496732,19.0444880174292,0.248029006148147,371450.4244,2281767.779,"SILT_LOAM","30-60 cm"
"39",0,30,1.53393518485185,7.39261711852083,2.6630787037037,1.09127777777778,28.8237962962963,24.0637962962963,47.1124074074074,0.156254847078974,378313.9999,2285676.328,"SANDY_CLAY_LOAM","0-30 cm"
"39",30,60,1.27910403016776,15.1722682244645,1.35951933551198,1.39707516339869,35.6846350762527,30.9246350762527,33.3907298474946,0.156788975268014,378313.9999,2285676.328,"CLAY_LOAM","30-60 cm"
"5",0,30,1.10583333366667,8.43555776206018,1.43847222222222,1.24511111111111,28,14.4459259259259,57.5540740740741,0.142170760767414,331154.7342,2276442.982,"SANDY_CLAY_LOAM","0-30 cm"
"5",30,60,1.45867647092157,7.95918054740059,2.08535130718954,2.46830065359477,28,45.8097603485839,26.1902396514161,0.176220146180811,331154.7342,2276442.982,"CLAY_LOAM","30-60 cm"
"9",0,30,1.05961419753009,9.36455600395834,4.74541666666667,3.43488888888889,31.9953703703704,24.5107407407407,43.4938888888889,0.151703441929973,368263.8202,2245338.65,"CLAY_LOAM","0-30 cm"
"9",30,60,1.22296750214148,11.9080777150123,2.4519362745098,2.21169934640523,33.9556100217865,28.431220043573,37.6131699346405,0.154287311417254,368263.8202,2245338.65,"CLAY_LOAM","30-60 cm"
"10",0,30,1.166666667,19.65976575,3.65,2.574,18,60.52,21.48,0.211119449997883,361929.8915,2270487.038,"SILT_LOAM","0-30 cm"
"12",0,30,0.766666667,13.01400932,2.49,1.872,22,62.52,15.48,0.239001631328313,368503.8805,2271177.729,"SILT_LOAM","0-30 cm"
"13",0,30,1.18,7.20407953,2.64,4.524,34,22.52,43.48,0.147874322878385,350885.3774,2298706.133,"CLAY_LOAM","0-30 cm"
"14",0,30,1.306666667,19.82992152,1.67,1.872,18,64.52,17.48,0.237012749167021,343841.351,2292223.594,"SILT_LOAM","0-30 cm"
"15",0,30,1.326666667,14.87406038,1.77,1.56,32,34.52,33.48,0.16182668634049,349127.0471,2264857.128,"CLAY_LOAM","0-30 cm"
"16",0,30,1.066666667,21.30712218,2.17,2.262,22,58.52,19.48,0.210779054622796,336057.5719,2268606.767,"SILT_LOAM","0-30 cm"
"18",0,30,1.293333333,28.15079607,2.58,1.716,28,48.52,23.48,0.18216582691202,339914.309,2261016.749,"CLAY_LOAM","0-30 cm"
